EpochSeconds	Games	
1428029400	1781497809,1781526338,1781527162,1781527327,1781528132,1781528633,1781529279,1781529379,1781543295,1781546921,1781547868,1781547904,1781548195,1781549235,1781549511,1781526711,1781526803,1781527040,1781527266,1781528001,1781528573,1781528714,1781545331,1781546088,1781546240,1781547130,1781547940,1781548017,1781548230,1781548447,1781548943,1781548972,1781548995,1781549456,1781549469,1781549687,1781561967,1781523795,1781525875,1781526501,1781527334,1781527674,1781528588,1781544163,1781548213,1781548291,1781549479,1781549726,1781560496,1781561761,1781562662,1781562771,1781566859,1781529509,1781546628,1781547446,1781562554,1781562958,1781564295,1781564603,1781565059,1781565083,1781565440,1781565472,1781565620,1781565777,1781565904,1781566013,1781566325,1781566377,1781566713,1781566781,1781567428,1781524731,1781526762,1781527846,1781529418,1781544698,1781545397,1781547424,1781547637,1781548455,1781548716,1781549237,1781562341,1781562939,1781563956,1781564126,1781564166,1781564353,1781564597,1781564826,1781564844,1781565107,1781565199,1781565503,1781565728,1781565855,1781565993,1781566011,1781566314,1781566767,1781566849,1781567031,1781567196,1781567302,1781567358
1428029700	1781567215,1781623171,1781528700,1781548245,1781549720,1781561742,1781563671,1781564040,1781565087,1781565173,1781565539,1781565892,1781566248,1781566730,1781566831,1781566863,1781567020,1781567038,1781567188,1781568531,1781624673,1781544820,1781548126,1781549206,1781564917,1781565226,1781565293,1781565471,1781565595,1781565726,1781565893,1781566436,1781566818,1781566846,1781567049,1781567241,1781567448,1781567481,1781567555,1781567617,1781567711,1781567720,1781567914,1781567983,1781568027,1781568060,1781568097,1781568178,1781568341,1781568430,1781568491,1781568518,1781568525,1781564116,1781564335,1781564916,1781565186,1781565884,1781565936,1781566188,1781566357,1781566438,1781566654,1781566677,1781566741,1781566779,1781566975,1781567030,1781567414,1781567452,1781567498,1781567526,1781567705,1781567716,1781567750,1781567762,1781567853,1781568081,1781568106,1781568177,1781568218,1781568269,1781568291,1781568313,1781568333,1781568348,1781568428,1781568516,1781568536,1781569250,1781626972,1781525200,1781547005,1781548056,1781565285,1781565480,1781565739,1781566307,1781566455,1781566676,1781566847,1781567186,1781567222,1781567400,1781567587,1781567719,1781567960,1781568217,1781568283,1781568332,1781568350,1781568473,1781568910,1781568936,1781568949,1781568958,1781569132,1781569160,1781569214,1781628034,1781549545,1781564893,1781565757,1781566180,1781566657,1781567190,1781567380,1781567584,1781567641,1781567858,1781567929,1781568123,1781568159,1781568306,1781568403,1781568966,1781569092,1781569223,1781569322
1428030000	1781629305,1781548247,1781549526,1781565200,1781566753,1781567603,1781567699,1781567944,1781568281,1781568540,1781568603,1781568661,1781568680,1781569039,1781569068,1781569365,1781569485,1781569540,1781609870,1781650169,1781564283,1781565216,1781565891,1781566853,1781567582,1781567856,1781567881,1781568133,1781568223,1781568467,1781568520,1781568617,1781568664,1781568903,1781569157,1781569400,1781569496,1781652180,1781548757,1781549548,1781562156,1781565549,1781567047,1781567227,1781567445,1781568305,1781568419,1781568507,1781568968,1781569154,1781569364,1781612267,1781613397,1781613523,1781652975,1781547440,1781562846,1781566835,1781567935,1781568185,1781568474,1781568606,1781569384,1781612864,1781615027,1781615081,1781615506,1781615555,1781615723,1781615900,1781567393,1781567986,1781568293,1781569252,1781569357,1781612279,1781613112,1781614600,1781615674,1781615721
1428030300	1781655883,1781616614,1781568252,1781568972,1781569347,1781613519,1781615611,1781615898,1781616104,1781616480,1781616596,1781656610,1781617624,1781548679,1781564553,1781567018,1781567951,1781568135,1781569340,1781613564,1781615024,1781616032,1781616287,1781616962,1781617115,1781617441,1781617568,1781660442,1781617577,1781566655,1781567733,1781568275,1781569334,1781569558,1781613644,1781614559,1781616304,1781617001,1781617083,1781617309,1781617335,1781617413,1781617464,1781617549,1781617558,1781565098,1781565908,1781568586,1781569192,1781610761,1781617923,1781618302,1781618491,1781619053,1781625890,1781568385,1781569104,1781569489,1781613398,1781615689,1781617104,1781617343,1781617860,1781618135,1781618256,1781618438,1781618534,1781619006,1781619060,1781619688,1781619711,1781624454
1428030600	1781569520,1781615038,1781615152,1781615451,1781616620,1781616859,1781618110,1781619072,1781625504,1781625946,1781626608,1781664599,1781613682,1781615076,1781617546,1781618168,1781618219,1781618947,1781619054,1781619678,1781619690,1781623260,1781624461,1781625717,1781626173,1781626772,1781627044,1781627989,1781628501,1781628771,1781628927,1781629100,1781629635,1781568040,1781617012,1781617437,1781618487,1781619002,1781619101,1781624107,1781625401,1781627460,1781666483,1781615468,1781617274,1781617534,1781619086,1781627269,1781628083,1781628311,1781628515,1781628637,1781628834,1781629173,1781629294,1781629374,1781629451,1781652503,1781669775,1781568057,1781616657,1781626043,1781629431
1428030900	1781668777,1781617593,1781627819,1781628239,1781628919,1781614695,1781615706,1781627196,1781627639,1781628416,1781628672,1781628864,1781629073,1781629477,1781653013,1781654693,1781654731,1781655638,1781655694,1781670957,1781618498,1781627617,1781629308,1781652118,1781655235,1781627445,1781652169,1781652409,1781654091,1781654624,1781654673,1781618193,1781626549,1781629333,1781654661,1781655749,1781656197,1781656349,1781656465,1781656753
1428031200	1781658034,1781617085,1781655830,1781656344,1781656686,1781656906,1781657016,1781657275,1781657448,1781657705,1781657882,1781658020,1781655436,1781655466,1781656449,1781657074,1781657321,1781657499,1781657524,1781679744,1781629053,1781656283,1781656720,1781657523,1781657890,1781658577,1781658822,1781658845,1781659073,1781659195,1781659444,1781681815,1781662082,1781652913,1781655606,1781656933,1781657502,1781658021,1781658600,1781658660,1781658710,1781658745,1781658947,1781659069,1781659210,1781659497,1781660670,1781662390,1781683037,1781652755,1781653582,1781655468,1781656851,1781657024,1781657264,1781657324,1781657407,1781658325,1781658861,1781659087,1781659201,1781660854,1781661354
1428031500	1781684290,1781655241,1781655431,1781655819,1781656620,1781657475,1781658644,1781658709,1781658981,1781659215,1781659704,1781660981,1781661324,1781663019,1781663374,1781687013,1781569393,1781657260,1781657711,1781658335,1781658708,1781659019,1781659724,1781663616,1781664800,1781665342,1781665506,1781665665,1781665821,1781667525,1781658701,1781658864,1781659074,1781659537,1781663459,1781663676,1781664061,1781664462,1781664981,1781666173,1781666360,1781666662,1781666891,1781666968,1781667120,1781667338,1781667748,1781657413,1781657716,1781659005,1781659509,1781659526,1781664312,1781665677,1781666557,1781666693,1781666867,1781667526,1781690826,1781658317,1781658791,1781665800,1781666692,1781667083,1781667494,1781667589,1781667597,1781667696,1781668818,1781669047,1781669268,1781669488
1428031800	1781668946,1781659269,1781664028,1781667035,1781667302,1781667501,1781667920,1781668075,1781668346,1781668773,1781668880,1781678188,1781658678,1781664395,1781666425,1781667274,1781667693,1781668394,1781668521,1781669007,1781669450,1781677979,1781693382,1781656693,1781657993,1781658737,1781659080,1781667481,1781668018,1781668341,1781668422,1781668508,1781668949,1781669063,1781669238,1781669266,1781672756,1781673375,1781675243,1781675954,1781676067,1781694055,1781658705,1781666211,1781667347,1781667433,1781667880,1781668315,1781668465,1781668910,1781669003,1781669420,1781669504,1781674847,1781675915,1781695509,1781659092,1781666715,1781667075,1781668020,1781668847,1781668939,1781677628,1781678333,1781678692,1781679086,1781679177
1428032100	1781695507,1781659180,1781667508,1781668017,1781668308,1781668953,1781669258,1781669447,1781674318,1781676454,1781678130,1781678872,1781680723,1781679632,1781664696,1781667081,1781668912,1781677569,1781677823,1781678198,1781679058,1781679231,1781702276,1781667737,1781668404,1781669052,1781676214,1781680780,1781681492,1781682393,1781683019,1781683201,1781701677,1781683639,1781668867,1781679454,1781681372,1781681606,1781681804,1781682717,1781685860,1781667849,1781679388,1781680641,1781681783,1781682371,1781682605,1781682965,1781684074,1781684823,1781685073,1781685096,1781685620
